Date,Description,Amount (EUR),Transaction Type,Transaction_ID,Category
9/1/24,Salary,3500.0,Income,0,Salary
9/1/24,Rent,1200.0,Expense,1,Housing and Utilities
9/1/24,Electricity Bill,75.5,Expense,2,Housing and Utilities
9/1/24,Water Bill,30.0,Expense,3,Housing and Utilities
9/1/24,Internet Service,45.0,Expense,4,Food and Drinks
9/1/24,Internet Service,45.0,Expense,4,Subscriptions and Fees
9/1/24,Mobile Phone Plan,35.0,Expense,5,Subscriptions and Fees
9/1/24,Gym Membership,50.0,Expense,6,Health and Wellness
9/1/24,Netflix Subscription,12.99,Expense,7,Subscriptions and Fees
9/1/24,Home Insurance,58.33,Expense,8,Housing and Utilities
9/1/24,Car Insurance,83.33,Expense,9,Health and Wellness
9/1/24,Health Insurance,150.0,Expense,10,Health and Wellness
9/1/24,Spotify Premium,9.99,Expense,11,Subscriptions and Fees
9/2/24,Café Noir,3.5,Expense,12,Food and Drinks
9/2/24,Metro Ticket,2.8,Expense,13,Transportation
9/2/24,Lunch at Work Cafeteria,8.5,Expense,14,Food and Drinks
9/2/24,Supermarket Express,22.45,Expense,15,Groceries
9/3/24,Bakery Deluxe,4.75,Expense,16,Food and Drinks
9/3/24,Metro Ticket,2.8,Expense,17,Transportation
9/3/24,Lunch at Veggie Corner,11.5,Expense,18,Food and Drinks
9/3/24,Pharmacy,15.6,Expense,19,Health and Wellness
9/4/24,Café Noir,3.5,Expense,20,Food and Drinks
9/4/24,Metro Ticket,2.8,Expense,21,Transportation
9/4/24,Lunch at Pasta Paradise,13.75,Expense,22,Food and Drinks
9/4/24,Bookstore,24.99,Expense,23,
9/5/24,Bakery Deluxe,4.75,Expense,24,Food and Drinks
9/5/24,Metro Ticket,2.8,Expense,25,Transportation
9/5/24,Lunch at Sushi Express,14.5,Expense,26,Food and Drinks
9/5/24,Cinema Ticket,12.0,Expense,27,Entertainment
9/6/24,Café Noir,3.5,Expense,28,Food and Drinks
9/6/24,Metro Ticket,2.8,Expense,29,Transportation
9/6/24,Lunch at Burger Bliss,10.99,Expense,30,Food and Drinks
9/6/24,H&M,45.0,Expense,31,Groceries
9/7/24,Local Market,35.75,Expense,32,Groceries
9/7/24,Coffee Bean,4.25,Expense,33,Food and Drinks
9/7/24,Pizza Pronto,18.5,Expense,34,Food and Drinks
9/7/24,Gas Station,65.0,Expense,35,Transportation
9/8/24,Brunch at Sunny Side Up,22.5,Expense,36,Food and Drinks
9/8/24,Museum Entry,15.0,Expense,37,Entertainment
9/8/24,Ice Cream Parlor,6.5,Expense,38,Food and Drinks
9/8/24,Supermarket Express,28.75,Expense,39,Groceries
9/9/24,Café Noir,3.5,Expense,40,Food and Drinks
9/9/24,Metro Ticket,2.8,Expense,41,Transportation
9/9/24,Lunch at Salad Bar,9.75,Expense,42,Food and Drinks
9/9/24,Office Supplies Store,13.25,Expense,43,
9/10/24,Dividend Payment,275.0,Income,44,
9/10/24,Bakery Deluxe,4.75,Expense,45,Food and Drinks
9/10/24,Metro Ticket,2.8,Expense,46,Transportation
9/10/24,Lunch at Taco Fiesta,12.5,Expense,47,Food and Drinks
9/10/24,Dry Cleaning,22.0,Expense,48,
9/11/24,Café Noir,3.5,Expense,49,Food and Drinks
9/11/24,Metro Ticket,2.8,Expense,50,Transportation
9/11/24,Lunch at Pho Delight,11.25,Expense,51,Food and Drinks
9/11/24,Electronics Store,89.99,Expense,52,Groceries
9/12/24,Bakery Deluxe,4.75,Expense,53,Food and Drinks
9/12/24,Metro Ticket,2.8,Expense,54,Transportation
9/12/24,Lunch at Greek Taverna,14.75,Expense,55,Food and Drinks
9/12/24,Concert Ticket,55.0,Expense,56,Entertainment
9/13/24,Café Noir,3.5,Expense,57,Food and Drinks
9/13/24,Metro Ticket,2.8,Expense,58,Transportation
9/13/24,Lunch at Indian Spice,13.5,Expense,59,Food and Drinks
9/13/24,Zara,68.0,Expense,60,Shopping
9/14/24,Farmers Market,42.5,Expense,61,Groceries
9/14/24,Coffee Bean,4.25,Expense,62,Food and Drinks
9/14/24,Italian Restaurant,35.75,Expense,63,Food and Drinks
9/14/24,Movie Rental,4.99,Expense,64,Entertainment
9/15/24,Freelance Payment,250.0,Income,65,Income
9/15/24,Brunch at Crepe Corner,19.5,Expense,66,Food and Drinks
9/15/24,Botanical Garden Entry,8.0,Expense,67,Entertainment
9/15/24,Gelato Shop,5.5,Expense,68,Food and Drinks
9/15/24,Supermarket Express,31.25,Expense,69,Groceries
9/16/24,Café Noir,3.5,Expense,70,Food and Drinks
9/16/24,Metro Ticket,2.8,Expense,71,Transportation
9/16/24,Lunch at Sandwich Spot,8.99,Expense,72,Food and Drinks
9/16/24,Stationery Shop,7.5,Expense,73,Shopping
9/17/24,Bakery Deluxe,4.75,Expense,74,Food and Drinks
9/17/24,Metro Ticket,2.8,Expense,75,Transportation
9/17/24,Lunch at Wok & Roll,12.25,Expense,76,Food and Drinks
9/17/24,Hardware Store,28.5,Expense,77,Hardware and Home Maintenance
9/18/24,Café Noir,3.5,Expense,78,Food and Drinks
9/18/24,Metro Ticket,2.8,Expense,79,Transportation
9/18/24,Lunch at Falafel House,10.5,Expense,80,Food and Drinks
9/18/24,Sporting Goods Store,75.0,Expense,81,Shopping
9/19/24,Bakery Deluxe,4.75,Expense,82,Food and Drinks
9/19/24,Metro Ticket,2.8,Expense,83,Transportation
9/19/24,Lunch at Smoothie Bar,7.99,Expense,84,Food and Drinks
9/19/24,Art Supply Shop,32.5,Expense,85,Shopping
