Date,Description_x,Amount (EUR),Transaction Type,Transaction_ID,Description_y,Category
9/1/24,Salary,3500.0,Income,0,Salary,Salary
9/1/24,Rent,1200.0,Expense,1,Rent,Housing and Utilities
9/1/24,Electricity Bill,75.5,Expense,2,Electricity Bill,Housing and Utilities
9/1/24,Water Bill,30.0,Expense,3,Water Bill,Housing and Utilities
9/1/24,Internet Service,45.0,Expense,4,,
9/1/24,Mobile Phone Plan,35.0,Expense,5,,
9/1/24,Gym Membership,50.0,Expense,6,Gym Membership,Subscriptions and Fees
9/1/24,Netflix Subscription,12.99,Expense,7,Netflix Subscription,Subscriptions and Fees
9/1/24,Home Insurance,58.33,Expense,8,Home Insurance,Housing and Utilities
9/1/24,Car Insurance,83.33,Expense,9,Car Insurance,Housing and Utilities
9/1/24,Health Insurance,150.0,Expense,10,Health Insurance,Housing and Utilities
9/1/24,Spotify Premium,9.99,Expense,11,Spotify Premium,Subscriptions and Fees
9/2/24,Café Noir,3.5,Expense,12,Café Noir,Food and Drinks
9/2/24,Metro Ticket,2.8,Expense,13,Metro Ticket,Transportation
9/2/24,Lunch at Work Cafeteria,8.5,Expense,14,Lunch at Work Cafeteria,Food and Drinks
9/2/24,Supermarket Express,22.45,Expense,15,Supermarket Express,Groceries
9/3/24,Bakery Deluxe,4.75,Expense,16,Bakery Deluxe,Groceries
9/3/24,Metro Ticket,2.8,Expense,17,Metro Ticket,Transportation
9/3/24,Lunch at Veggie Corner,11.5,Expense,18,Lunch at Veggie Corner,Food and Drinks
9/3/24,Pharmacy,15.6,Expense,19,Pharmacy,Health and Wellness
9/4/24,Café Noir,3.5,Expense,20,Café Noir,Food and Drinks
9/4/24,Metro Ticket,2.8,Expense,21,Metro Ticket,Transportation
9/4/24,Lunch at Pasta Paradise,13.75,Expense,22,Lunch at Pasta Paradise,Food and Drinks
9/4/24,Bookstore,24.99,Expense,23,,
9/5/24,Bakery Deluxe,4.75,Expense,24,Bakery Deluxe,Groceries
9/5/24,Metro Ticket,2.8,Expense,25,Metro Ticket,Transportation
9/5/24,Lunch at Sushi Express,14.5,Expense,26,Lunch at Sushi Express,Food and Drinks
9/5/24,Cinema Ticket,12.0,Expense,27,Cinema Ticket,Entertainment
9/6/24,Café Noir,3.5,Expense,28,,
9/6/24,Metro Ticket,2.8,Expense,29,28 | Lunch at,Food and Drinks
9/6/24,Metro Ticket,2.8,Expense,29,Metro Ticket,Transportation
9/6/24,Lunch at Burger Bliss,10.99,Expense,30,Lunch at Burger Bliss,Food and Drinks
9/6/24,H&M,45.0,Expense,31,H&M,Shopping
9/7/24,Local Market,35.75,Expense,32,Local Market,Groceries
9/7/24,Coffee Bean,4.25,Expense,33,Coffee Bean,Food and Drinks
9/7/24,Pizza Pronto,18.5,Expense,34,Pizza Pronto,Food and Drinks
9/7/24,Gas Station,65.0,Expense,35,,
9/8/24,Brunch at Sunny Side Up,22.5,Expense,36,Brunch at Sunny Side Up,Food and Drinks
9/8/24,Museum Entry,15.0,Expense,37,Museum Entry,Entertainment
9/8/24,Ice Cream Parlor,6.5,Expense,38,Ice Cream Parlor,Food and Drinks
9/8/24,Supermarket Express,28.75,Expense,39,Supermarket Express,Groceries
9/9/24,Café Noir,3.5,Expense,40,Café Noir,Food and Drinks
9/9/24,Metro Ticket,2.8,Expense,41,Metro Ticket,Transportation
9/9/24,Lunch at Salad Bar,9.75,Expense,42,Lunch at Salad Bar,Food and Drinks
9/9/24,Office Supplies Store,13.25,Expense,43,Office Supplies Store,Shopping
9/10/24,Dividend Payment,275.0,Income,44,Dividend Payment,Investments
